ppm,spectrum
0.700067,0
0.700433,0
0.700616,0
0.700983,0
0.701166,0.001833333
0.701532,0.003666667
0.701716,0.001833333
0.702082,0
0.702265,0
0.702632,0
0.702815,0
0.703181,0
0.703548,0
0.703731,0.001833333
0.704097,0.003666667
0.704281,0.003666667
0.704647,0.001833333
0.70483,0.001833333
0.705197,0
0.70538,0
0.705746,0
0.70593,0
0.706296,0
0.706662,0
0.706846,0
0.707212,0
0.707395,0
0.707762,0
0.707945,0
0.708311,0
0.708495,0.001833333
0.708861,0
0.709044,0
0.709411,0
0.709777,0
0.70996,0
0.710327,0.003666667
0.71051,0.001833333
0.710876,0
0.71106,0
0.711426,0
0.711609,0
0.711976,0
0.712159,0
0.712525,0
0.712892,0
0.713075,0
0.713441,0
0.713625,0
0.713991,0
0.714174,0.001833333
0.714541,0.003666667
0.714724,0.003666667
0.71509,0.001833333
0.715457,0
0.71564,0
0.716006,0
0.71619,0
0.716556,0
0.716739,0
0.717106,0
0.717289,0
0.717655,0
0.717839,0
0.718205,0
0.718571,0
0.718755,0
0.719121,0
0.719304,0
0.719671,0
0.719854,0
0.72022,0
0.720404,0
0.72077,0
0.720953,0
0.72132,0
0.721686,0.001833333
0.721869,0.001833333
0.722236,0.001833333
0.722419,0
0.722785,0.001833333
0.722969,0.001833333
0.723335,0.001833333
0.723518,0
0.723885,0.003666667
0.724068,0.001833333
0.724434,0.001833333
0.724801,0.001833333
0.724984,0.003666667
0.72535,0.001833333
0.725534,0.001833333
0.7259,0.003666667
0.726083,0.003666667
0.72645,0.001833333
0.726633,0.001833333
0.726999,0.003666667
0.727183,0.003666667
0.727549,0
0.727915,0
0.728099,0.001833333
0.728465,0.001833333
0.728648,0.001833333
0.729015,0.003666667
0.729198,0.003666667
0.729564,0.001833333
0.729748,0.001833333
0.730114,0.003666667
0.730297,0.001833333
0.730664,0
0.73103,0
0.731213,0
0.73158,0
0.731763,0
0.732129,0
0.732313,0
0.732679,0
0.732862,0
0.733229,0
0.733412,0
0.733778,0
0.734145,0
0.734328,0
0.734694,0
0.734878,0
0.735244,0
0.735427,0
0.735794,0
0.735977,0
0.736343,0
0.736527,0
0.736893,0
0.737259,0
0.737443,0
0.737809,0.001833333
0.737992,0.001833333
0.738359,0.001833333
0.738542,0.001833333
0.738908,0.003666667
0.739092,0.001833333
0.739458,0.001833333
0.739824,0.003666667
0.740008,0.001833333
0.740374,0
0.740557,0.001833333
0.740924,0
0.741107,0
0.741473,0
0.741657,0
0.742023,0.001833333
0.742206,0.003666667
0.742573,0.001833333
0.742939,0
0.743122,0
0.743489,0
0.743672,0
0.744038,0
0.744222,0
0.744588,0
0.744771,0
0.745138,0
0.745321,0
0.745687,0
0.746054,0
0.746237,0
0.746603,0.001833333
0.746787,0.001833333
0.747153,0.001833333
0.747336,0
0.747703,0
0.747886,0
0.748252,0.001833333
0.748436,0.001833333
0.748802,0.003666667
0.749168,0.001833333
0.749352,0.001833333
0.749718,0.001833333
0.749901,0
0.750268,0
0.750451,0
0.750817,0
0.751001,0
