ppm_norm,asp.4
0.700045,0.001313223
0.700427,0.001313223
0.700808,0.006104672
0.701144504,0.010081722
0.70119,0.011097281
0.701572,0.011232155
0.701953,0.009345301
0.702244007,0.010138362
0.702335,0.013703258
0.702717,0.014795163
0.703098,0.013742937
0.703343511,0.004872105
0.70348,0.004669409
0.703862,0.004559441
0.704243,0.018561558
0.704443014,0.0231894
0.704625,0.013331423
0.705006,0.004626195
0.705388,0
0.705542518,0
0.70577,0.001298485
0.706151,0.003137865
0.706533,0.001163888
0.706642021,0
0.706915,0
0.707296,0
0.707678,0
0.707741525,0
0.70806,8.53E-05
0.708441,0.000475716
0.708823,0
0.708841028,0
0.709205,0.000294837
0.709586,0.00474788
0.709940532,0.001273195
0.709968,7.02E-05
0.710349,0
0.710731,0
0.711040036,0
0.711113,0.013884723
0.711494,0.016776621
0.711876,0.002407109
0.712139539,0
0.712258,0
0.712639,0
0.713021,0.005788205
0.713239043,0.007685821
0.713403,0.006120461
0.713784,0.00504675
0.714166,0.000857521
0.714338546,0
0.714548,0
0.714929,0
0.715311,0.002413375
0.71543805,0.006720871
0.715692,0.004303951
0.716074,0
0.716456,0
0.716537553,0
0.716837,0
0.717219,0
0.717601,0.000146102
0.717637057,0.009336141
0.717982,0.008509015
0.718364,0.002693801
0.71873656,0
0.718746,0
0.719127,0
0.719509,0
0.719836064,0
0.719891,0
0.720272,0
0.720654,0.00285673
0.720935568,0.005284423
0.721035,0.00241896
0.721417,0.00158472
0.721799,0.010208657
0.722035071,0.020991098
0.72218,0.015490192
0.722562,0.012617906
0.722944,0
0.723134575,0
0.723325,0.001864668
0.723707,0.003456795
0.724089,0
0.724234078,0
0.72447,0
0.724852,0
0.725233,0
0.725333582,0
0.725615,0.000723295
0.725997,0.00236254
0.726378,0
0.726433085,0
0.72676,0
0.727142,0
0.727523,0
0.727532589,0
0.727905,0
0.728287,0
0.728632092,0.003000662
0.728668,0.00845812
0.72905,0.008719357
0.729432,0
0.729731596,0
0.729813,0.007114883
0.730195,0.00850276
0.730576,0.023311947
0.7308311,0.008812422
0.730958,0.002467804
0.73134,0
0.731721,0
0.731930603,0
0.732103,0
0.732485,0
0.732866,0
0.733030107,0
0.733248,0
0.73363,0
0.734011,0
0.73412961,0.00029867
0.734393,0.000188685
0.734775,0
0.735156,0
0.735229114,0.008377842
0.735538,0.007169321
0.735919,0.003563254
0.736301,0
0.736328617,8.13E-05
0.736683,0.001175955
0.737064,0.008264209
0.737428121,0
0.737446,0
0.737828,0
0.738209,0
0.738527625,0.006422802
0.738591,0.001208888
0.738973,0.000625051
0.739354,0
0.739627128,0.012110275
0.739736,0.015314884
0.740118,0.016207917
0.740499,0.002492138
0.740726632,0
0.740881,0
0.741262,0
0.741644,0.006847652
0.741826135,0.007727927
0.742026,0.00349622
0.742407,0
0.742789,0
0.742925639,0
0.743171,0.001536708
0.743552,0.003570844
0.743934,0.015250188
0.744025142,0.001895152
0.744316,0.001301759
0.744697,0
0.745079,0
0.745124646,0.006789457
0.74546,0.007476994
0.745842,0.010290375
0.746224,0.016468406
0.746224149,0.01190621
0.746605,0.010967499
0.746987,0
0.747323653,0
0.747369,0.013075744
0.74775,0.013600761
0.748132,0.025419725
0.748423157,0.016152032
0.748514,0.012690184
0.748895,0.012051095
0.749277,0.01828906
0.74952266,0.017261267
0.749659,0.014899391
0.75004,0.014012124
0.750422,0.019771017
0.750622164,0.021064996
0.750803,0.015791965
0.751185,0.012438858
0.751567,0.011733997
0.751721667,0.017255878
0.751948,0.013852298
0.75233,0.01036241
0.752712,0.002122218
0.752821171,0.011224119
0.753093,0.013790808
0.753475,0.018046892
0.753857,0.005054109
0.753920674,0
0.754238,0.003579768
0.75462,0.013840251
0.755002,0.020062605
0.755020178,0.003023585
0.755383,0.002596946
0.755765,0
0.756119681,0.005343526
0.756146,0.016173277
0.756528,0.016164235
0.75691,0.015827036
0.757219185,0.012930524
0.757291,0.006075791
0.757673,0.005386556
0.758055,0
0.758318689,0
0.758436,0.006006327
0.758818,0.007592448
0.7592,0.009465585
0.759418192,0.00410828
0.759581,0.007815466
0.759963,0.009612256
0.760344,0.015805175
0.760517696,0.005096292
0.760726,0.002256823
0.761108,0
0.761489,0
0.761617199,0
0.761871,0
0.762253,0
0.762634,0
0.762716703,0.001646979
0.763016,0.001115518
0.763398,0
0.763779,0
0.763816206,0
0.764161,0
0.764543,0
0.76491571,0.009328736
0.764924,0.007233151
0.765306,0.006595092
0.765687,0
0.766015213,0
0.766069,0
0.766451,0
0.766832,0
0.767114717,0.012304995
0.767214,0.001799756
0.767596,0
0.767977,0
0.768214221,0
0.768359,0
0.768741,0
0.769122,0.004296396
0.769313724,0.010387058
0.769504,0.010430856
0.769886,0.010457784
0.770267,0.001665792
0.770413228,0
0.770649,0.001697572
0.77103,0.00338145
0.771412,0
0.771512731,0
0.771794,0
0.772175,0
0.772557,0.005762834
0.772612235,0
0.772939,0
0.77332,0
0.773702,0
0.773711738,0.004718367
0.774084,0.004266265
0.774465,0.001710608
0.774811242,0
0.774847,0
0.775229,0
0.77561,0
0.775910745,0
0.775992,0
0.776373,0
0.776755,0.011082959
0.777010249,0.013859495
0.777137,0.002791319
0.777518,0
0.7779,0
0.778109753,0
0.778282,0
0.778663,0
0.779045,0
0.779209256,0
0.779427,0
0.779808,0
0.78019,0.001835203
0.78030876,0.005100988
0.780571,0.002984447
0.780953,0.000377186
0.781335,0
0.781408263,3.91E-06
0.781716,0.00284123
0.782098,0.008588496
0.78248,0.000834428
0.782507767,0
0.782861,0
0.783243,0
0.78360727,0.005272292
0.783625,0.00228858
0.784006,0.002070198
0.784388,0
0.784706774,0
0.78477,0
0.785151,0
0.785533,0
0.785806277,0.008085469
0.785914,0.003143721
0.786296,0.002358937
0.786678,0
0.786905781,0
0.787059,0.007133604
0.787441,0.009570027
0.787823,0.007449964
0.788005285,0
0.788204,0
0.788586,0
0.788968,0.0066749
0.789104788,0.003309923
0.789349,0.001620802
0.789731,0
0.790113,0
0.790204292,0
0.790494,0
0.790876,0
0.791257,0.008194098
0.791303795,0.012505705
0.791639,0.009040038
0.792021,0
0.792402,0
0.792403299,0
0.792784,0.002412895
0.793166,0.015091046
0.793502802,0.006605529
0.793547,0
0.793929,0.000391705
0.794311,0.00918385
0.794602306,0.011882393
0.794692,0.00410407
0.795074,0.003475377
0.795455,0.002203167
0.79570181,0.004294718
0.795837,0.000823829
0.796219,0
0.7966,0
0.796801313,0
0.796982,0
0.797364,0
0.797745,0
0.797900817,0
0.798127,0.000687155
0.798509,0.001197758
0.79889,0
0.79900032,0
0.799272,0
0.799654,0
0.800035,0
0.800099824,0
0.800417,0
0.800798,0
0.80118,0.003069294
0.801199327,0.003973401
0.801562,0.003091355
0.801943,0
0.802298831,0
0.802325,0.004293271
0.802707,0.003938374
0.803088,0.000905247
0.803398334,0
0.80347,0
0.803852,0
0.804233,0.005113566
0.804497838,0.009439905
0.804615,0.006334755
0.804997,0.005871894
0.805378,0
0.805597342,0
0.80576,0
0.806141,0
0.806523,0
0.806696845,0
0.806905,0
0.807286,0
0.807668,0
0.807796349,0.002718665
0.80805,0.001717621
0.808431,0.000788242
0.808813,0.002707827
0.808895852,0.010273502
0.809195,0.011810546
0.809576,0.014103434
0.809958,0.012882321
0.809995356,0.010545584
0.81034,0.009094394
0.810721,0.005437314
0.811094859,0
0.811103,5.65E-05
0.811484,4.70E-05
0.811866,0
0.812194363,0
0.812248,0
0.812629,0
0.813011,0
0.813293866,0.011349637
0.813393,0.014794778
0.813774,0.01504466
0.814156,0.006312817
0.81439337,0
0.814538,0
0.814919,0
0.815301,0
0.815492874,0
0.815682,0
0.816064,0
0.816446,0
0.816592377,0
0.816827,0.002927052
0.817209,0.005027706
0.817591,0.009936144
0.817691881,0.002755044
0.817972,0.001474943
0.818354,0
0.818736,0
0.818791384,0
0.819117,0.000490011
0.819499,0.001411754
0.819881,0.005487134
0.819890888,0
0.820262,0
0.820644,0
0.820990391,0
0.821025,0.014364293
0.821407,0.014184749
0.821789,0.012793859
0.822089895,0
0.82217,0
0.822552,0
0.822934,0
0.823189398,0
0.823315,0.002327376
0.823697,0.002646137
0.824079,0
0.824288902,0
0.82446,0
0.824842,0
0.825224,0
0.825388406,0
0.825605,0
0.825987,0
0.826368,0
0.826487909,0
0.82675,0
0.827132,0
