ppm_norm,ile.7
0.700045,0
0.700427,0
0.700808,0
0.701144504,0
0.70119,0
0.701572,0
0.701953,0
0.702244007,0
0.702335,0
0.702717,0
0.703098,0
0.703343511,0
0.70348,0
0.703862,0
0.704243,0
0.704443014,0
0.704625,0
0.705006,0
0.705388,0
0.705542518,0
0.70577,0
0.706151,0
0.706533,0
0.706642021,0
0.706915,0
0.707296,0
0.707678,0
0.707741525,0
0.70806,0
0.708441,0
0.708823,0
0.708841028,0
0.709205,0
0.709586,0
0.709940532,0
0.709968,0
0.710349,0
0.710731,0
0.711040036,0
0.711113,0
0.711494,0
0.711876,0
0.712139539,0
0.712258,0
0.712639,0
0.713021,0
0.713239043,0
0.713403,0
0.713784,0
0.714166,0
0.714338546,0
0.714548,0
0.714929,0
0.715311,0
0.71543805,0
0.715692,0
0.716074,0
0.716456,0
0.716537553,0
0.716837,0
0.717219,0
0.717601,0
0.717637057,0
0.717982,0
0.718364,0
0.71873656,0
0.718746,0
0.719127,0
0.719509,0
0.719836064,0
0.719891,0
0.720272,0
0.720654,0
0.720935568,0
0.721035,0
0.721417,0
0.721799,0
0.722035071,0
0.72218,0
0.722562,0
0.722944,0
0.723134575,0
0.723325,0
0.723707,0
0.724089,0
0.724234078,0
0.72447,0
0.724852,0
0.725233,0
0.725333582,0
0.725615,0
0.725997,0
0.726378,0
0.726433085,0
0.72676,0
0.727142,0
0.727523,0
0.727532589,0
0.727905,0
0.728287,0
0.728632092,0
0.728668,0
0.72905,0
0.729432,0
0.729731596,0
0.729813,0
0.730195,0
0.730576,0
0.7308311,0
0.730958,0
0.73134,0
0.731721,0
0.731930603,0
0.732103,0
0.732485,0
0.732866,0
0.733030107,0
0.733248,0
0.73363,0
0.734011,0
0.73412961,0
0.734393,0
0.734775,0
0.735156,0
0.735229114,0
0.735538,0
0.735919,0
0.736301,0
0.736328617,0
0.736683,0
0.737064,0
0.737428121,0
0.737446,0
0.737828,0
0.738209,0
0.738527625,0
0.738591,0
0.738973,0
0.739354,0
0.739627128,0
0.739736,0
0.740118,0
0.740499,0
0.740726632,0
0.740881,0
0.741262,0
0.741644,0
0.741826135,0
0.742026,0
0.742407,0
0.742789,0
0.742925639,0
0.743171,0
0.743552,0
0.743934,0
0.744025142,0
0.744316,0
0.744697,0
0.745079,0
0.745124646,0
0.74546,0
0.745842,0
0.746224,0
0.746224149,0
0.746605,0
0.746987,0
0.747323653,0
0.747369,0
0.74775,0
0.748132,0
0.748423157,0
0.748514,0
0.748895,0
0.749277,0
0.74952266,0
0.749659,0
0.75004,0
0.750422,0
0.750622164,0
0.750803,0
0.751185,0
0.751567,0
0.751721667,0
0.751948,0
0.75233,0
0.752712,0
0.752821171,0
0.753093,0
0.753475,0
0.753857,0
0.753920674,0
0.754238,0
0.75462,0
0.755002,0
0.755020178,0
0.755383,0
0.755765,0
0.756119681,0
0.756146,0
0.756528,0
0.75691,0
0.757219185,0
0.757291,0
0.757673,0
0.758055,0
0.758318689,0
0.758436,0
0.758818,0
0.7592,0
0.759418192,0
0.759581,0
0.759963,0
0.760344,0
0.760517696,0
0.760726,0
0.761108,0
0.761489,0
0.761617199,0
0.761871,0
0.762253,0
0.762634,0
0.762716703,0
0.763016,0
0.763398,0
0.763779,0
0.763816206,0
0.764161,0
0.764543,0
0.76491571,0
0.764924,0
0.765306,0
0.765687,0
0.766015213,0
0.766069,0
0.766451,0
0.766832,0
0.767114717,0
0.767214,0
0.767596,0
0.767977,0
0.768214221,0
0.768359,0
0.768741,0
0.769122,0
0.769313724,0
0.769504,0
0.769886,0
0.770267,0
0.770413228,0
0.770649,0
0.77103,0
0.771412,0
0.771512731,0
0.771794,0
0.772175,0
0.772557,0
0.772612235,0
0.772939,0
0.77332,0
0.773702,0
0.773711738,0
0.774084,0
0.774465,0
0.774811242,0
0.774847,0
0.775229,0
0.77561,0
0.775910745,0
0.775992,0
0.776373,0
0.776755,0
0.777010249,0
0.777137,0
0.777518,0
